skor_variansi,skor_edge_density,skor_entropi,skor_grabcut,skor_akhir,kategori,nama_file,label,status
0.387,0.278,0.87,0.416,0.457,perlu_cek_manual,R_1.jpg,Recyclable,ok
0.4,0.134,0.255,0.405,0.292,background_terpisah,R_10.jpg,Recyclable,ok
1.0,0.65,0.878,0.501,0.771,full_frame,R_100.jpg,Recyclable,ok
1.0,0.307,0.918,0.46,0.668,full_frame,R_1000.jpg,Recyclable,ok
0.7,0.52,0.594,0.576,0.6,perlu_cek_manual,R_1001.jpg,Recyclable,ok
0.508,0.818,0.685,0.38,0.611,perlu_cek_manual,R_1002.jpg,Recyclable,ok
0.698,1.0,1.0,0.566,0.823,full_frame,R_1003.jpg,Recyclable,ok
1.0,0.0,1.0,0.509,0.602,perlu_cek_manual,R_1004.jpg,Recyclable,ok
1.0,1.0,0.711,0.461,0.834,full_frame,R_1005.jpg,Recyclable,ok
1.0,0.768,1.0,0.008,0.732,full_frame,R_1006.jpg,Recyclable,ok
1.0,0.949,1.0,0.0,0.785,full_frame,R_1007.jpg,Recyclable,ok
0.258,0.628,0.581,0.24,0.43,perlu_cek_manual,R_1008.jpg,Recyclable,ok
1.0,0.973,1.0,0.0,0.792,full_frame,R_1009.jpg,Recyclable,ok
0.63,0.332,0.329,0.22,0.398,perlu_cek_manual,R_101.jpg,Recyclable,ok
0.198,0.121,0.695,0.307,0.296,background_terpisah,R_1010.jpg,Recyclable,ok
1.0,0.84,1.0,0.0,0.752,full_frame,R_1011.jpg,Recyclable,ok
0.797,0.784,0.975,0.0,0.669,full_frame,R_1012.jpg,Recyclable,ok
0.02,0.03,0.1,0.508,0.137,background_terpisah,R_1013.jpg,Recyclable,ok
1.0,0.275,0.972,0.378,0.652,full_frame,R_1014.jpg,Recyclable,ok
0.836,0.624,0.669,0.442,0.66,full_frame,R_1015.jpg,Recyclable,ok
1.0,0.566,0.756,0.286,0.678,full_frame,R_1016.jpg,Recyclable,ok
1.0,0.863,1.0,0.0,0.759,full_frame,R_1017.jpg,Recyclable,ok
0.348,0.333,0.393,0.233,0.33,background_terpisah,R_1018.jpg,Recyclable,ok
0.979,0.894,0.978,0.524,0.862,full_frame,R_1019.jpg,Recyclable,ok
0.375,0.576,0.605,0.401,0.487,perlu_cek_manual,R_102.jpg,Recyclable,ok
