label,channel,bin,nilai
Recyclable,hue,0,0.6068228995137033
Recyclable,hue,1,0.10654507356038938
Recyclable,hue,2,0.1698594364655147
Recyclable,hue,3,0.13628379161492177
Recyclable,hue,4,0.06868059917637556
Recyclable,hue,5,0.09461796734519781
Recyclable,hue,6,0.03650869486789836
Recyclable,hue,7,0.02250101956113979
Recyclable,hue,8,0.020256234593065713
Recyclable,hue,9,0.01239740208510946
Recyclable,hue,10,0.020109429624972527
Recyclable,hue,11,0.01598765750730037
Recyclable,hue,12,0.02890569779200735
Recyclable,hue,13,0.023689186455326142
Recyclable,hue,14,0.020103631813381376
Recyclable,hue,15,0.05623615965813347
Recyclable,hue,16,0.07233338612848353
Recyclable,hue,17,0.08325527378256425
Recyclable,hue,18,0.08183546090670855
Recyclable,hue,19,0.0430993113410405
Recyclable,hue,20,0.07965479164310851
Recyclable,hue,21,0.018755156206186934
Recyclable,hue,22,0.014886854017395411
Recyclable,hue,23,0.015047752164675052
Recyclable,hue,24,0.007169165599596654
Recyclable,hue,25,0.021624253513248166
Recyclable,hue,26,0.013179247752137309
Recyclable,hue,27,0.031025255966297998
Recyclable,hue,28,0.03152509848447794
Recyclable,hue,29,0.05171380260241839
Recyclable,saturation,0,0.7121151000799455
Recyclable,saturation,1,0.17344556533767344
Recyclable,saturation,2,0.12106334750570459
Recyclable,saturation,3,0.09420485655973501
Recyclable,saturation,4,0.0780217511443067
Recyclable,saturation,5,0.06736479732711122
Recyclable,saturation,6,0.06196924439107356
Recyclable,saturation,7,0.056343747894668436
Recyclable,saturation,8,0.05343834971340321
Recyclable,saturation,9,0.050233956374045964
Recyclable,saturation,10,0.0476942057726214
Recyclable,saturation,11,0.04443716724583248
Recyclable,saturation,12,0.043148747318620805
Recyclable,saturation,13,0.04048417543110658
Recyclable,saturation,14,0.03875939044891966
Recyclable,saturation,15,0.03550787738423438
Recyclable,saturation,16,0.036121898661666985
Recyclable,saturation,17,0.03212506663399719
Recyclable,saturation,18,0.03006939547081787
Recyclable,saturation,19,0.02935877681446116
Recyclable,saturation,20,0.026395919861155307
Recyclable,saturation,21,0.02649356643095308
Recyclable,saturation,22,0.024708356598949446
Recyclable,saturation,23,0.025306584853380772
Recyclable,saturation,24,0.022701306314169972
Recyclable,saturation,25,0.02316678980534136
Recyclable,saturation,26,0.02284397523165024
Recyclable,saturation,27,0.021533618803169355
Recyclable,saturation,28,0.01959690146962987
Recyclable,saturation,29,0.018585887154767188
Recyclable,saturation,30,0.020391803350493065
Recyclable,saturation,31,0.0722836976085174
Recyclable,value,0,0.04748489414518921
Recyclable,value,1,0.025297710510853975
Recyclable,value,2,0.025429639416379764
Recyclable,value,3,0.02691412606455482
Recyclable,value,4,0.029021776666971713
Recyclable,value,5,0.030036789459944
Recyclable,value,6,0.032056557260461555
Recyclable,value,7,0.033846121104316014
Recyclable,value,8,0.03497997422860314
Recyclable,value,9,0.03718615153248195
Recyclable,value,10,0.03872424883756774
