skor_variansi,skor_edge_density,skor_entropi,skor_grabcut,skor_akhir,kategori,nama_file,label,status
0.387,0.278,0.87,0.416,0.457,background_terpisah,R_1.jpg,Recyclable,ok
0.7,0.52,0.594,0.576,0.6,background_terpisah,R_1001.jpg,Recyclable,ok
0.508,0.818,0.685,0.38,0.611,background_terpisah,R_1002.jpg,Recyclable,ok
1.0,0.0,1.0,0.509,0.602,perlu_cek_manual,R_1004.jpg,Recyclable,ok
0.258,0.628,0.581,0.24,0.43,perlu_cek_manual,R_1008.jpg,Recyclable,ok
0.63,0.332,0.329,0.22,0.398,perlu_cek_manual,R_101.jpg,Recyclable,ok
0.375,0.576,0.605,0.401,0.487,perlu_cek_manual,R_102.jpg,Recyclable,ok
1.0,0.303,0.488,0.156,0.52,perlu_cek_manual,R_103.jpg,Recyclable,ok
1.0,0.558,0.531,0.293,0.632,perlu_cek_manual,R_1032.jpg,Recyclable,ok
0.888,0.393,0.42,0.516,0.572,perlu_cek_manual,R_1036.jpg,Recyclable,ok
0.434,0.15,0.854,0.23,0.392,perlu_cek_manual,R_1044.jpg,Recyclable,ok
0.471,0.6,0.524,0.254,0.477,perlu_cek_manual,R_1047.jpg,Recyclable,ok
0.538,0.259,0.402,0.195,0.359,perlu_cek_manual,R_1048.jpg,Recyclable,ok
0.421,0.693,0.933,0.101,0.541,perlu_cek_manual,R_1049.jpg,Recyclable,ok
1.0,0.312,1.0,0.146,0.623,perlu_cek_manual,R_1053.jpg,Recyclable,ok
0.448,0.28,0.815,0.418,0.465,perlu_cek_manual,R_1057.jpg,Recyclable,ok
0.374,0.106,0.886,0.229,0.367,perlu_cek_manual,R_1060.jpg,Recyclable,ok
0.333,0.0,0.892,0.473,0.373,perlu_cek_manual,R_1061.jpg,Recyclable,ok
0.076,1.0,0.701,0.339,0.531,perlu_cek_manual,R_1068.jpg,Recyclable,ok
0.737,0.565,0.609,0.407,0.594,perlu_cek_manual,R_1070.jpg,Recyclable,ok
0.338,0.668,0.826,0.651,0.597,perlu_cek_manual,R_1073.jpg,Recyclable,ok
0.641,0.25,0.533,0.183,0.411,perlu_cek_manual,R_1075.jpg,Recyclable,ok
0.378,0.505,0.44,0.313,0.415,perlu_cek_manual,R_1077.jpg,Recyclable,ok
0.374,0.055,0.906,0.268,0.363,perlu_cek_manual,R_108.jpg,Recyclable,ok
0.541,0.62,0.352,0.352,0.489,perlu_cek_manual,R_1084.jpg,Recyclable,ok
0.376,0.45,0.687,0.385,0.462,perlu_cek_manual,R_1085.jpg,Recyclable,ok
